File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\The Equalizer 3 2023.MKV,The Equalizer 3 2023,1.85,.MKV,17024450,The Equalizer 3,2023,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\The Room 2019.mkv,The Room 2019,1.68,.mkv,8485364,The Room,2019,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\The.Client.2011.mkv,The_Client_2011,0.28,.mkv,0109446,The Client,1994,"['Crime', 'Drama', 'Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\The.Equalizer.3.2023.mkv,The_Equalizer_3_2023,1.4,.mkv,17024450,The Equalizer 3,2023,"['Action', 'Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\The.Fabelmans.2022.mkv,The_Fabelmans_2022,0.88,.mkv,14208870,The Fabelmans,2022,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\The.Rum.Diary.2011.mkv,The_Rum_Diary_2011,0.88,.mkv,0376136,The Rum Diary,2011,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\The_Mummy_4_2017.mkv,The_Mummy_4_2017,1.11,.mkv,0120616,The Mummy,1999,"['Action', 'Adventure', 'Fantasy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\The_Only_Way_Out_2021.mkv,The_Only_Way_Out_2021,1.92,.mkv,11050886,The Only Way Out,2021,"['Mystery', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\This.Means.War.2012.mkv,This_Means_War_2012,0.83,.mkv,1596350,This Means War,2012,"['Action', 'Comedy', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Triangle.2009.mkv,Triangle_2009,1.31,.mkv,7322224,Triangle of Sadness,2022,"['Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Unstoppable (2010).mkv,Unstoppable (2010),2.27,.mkv,0477080,Unstoppable,2010,"['Action', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\Uyare (2019).mkv,Uyare (2019),1.41,.mkv,9271408,Uyare,2019,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\War Dogs (2016).MKV,War Dogs (2016),0.83,.MKV,2005151,War Dogs,2016,"['Biography', 'Comedy', 'Crime', 'Drama', 'War']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\\MoveIt_Dec2023\We Have A Ghost (2023).mkv,We Have A Ghost (2023),1.12,.mkv,7798604,We Have a Ghost,2023,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Horror', 'Mystery']",Bollywood
