File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bombay 405 Miles.mp4,Bombay 405 Miles,0.78,.mp4,0157418,Bombay 405 Miles,1980,"['Comedy', 'Action']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bombay Talkies (2013).mkv,Bombay Talkies (2013),0.91,.mkv,2797242,Bombay Talkies,2013,['Drama'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Boom (2003).avi,Boom (2003),1.37,.avi,0330082,Boom,2003,"['Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Boxer_Mithun_Chakraborty.mp4,Boxer_Mithun_Chakraborty,1.63,.mp4,6322524,Ayushmann Khurrana and Mithun Chakraborty,2015,"['Comedy', 'Talk-Show']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Brahmastra_Part_One_Shiva_2022.mkv,Brahmastra_Part_One_Shiva_2022,2.7,.mkv,6277462,Brahmastra Part One: Shiva,2022,"['Action', 'Adventure', 'Fantasy']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Brij Mohan Amar Rahe (2018).mkv,Brij Mohan Amar Rahe (2018),1.04,.mkv,6514010,Long Live Brij Mohan,2017,"['Comedy', 'Crime', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Brothers.mkv,Brothers,0.98,.mkv,17632862,The Brothers Sun,2024,"['Action', 'Comedy', 'Drama']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Buddha in a Traffic Jam (2016).mkv,Buddha In A Traffic Jam (2016),0.92,.mkv,1890363,Buddha in a Traffic Jam,2016,"['Crime', 'Thriller']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bulbbul 2020.mkv,Bulbbul 2020,0.88,.mkv,12393526,Bulbbul,2020,"['Drama', 'Horror', 'Mystery']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Bulbule.mkv,Bulbule,0.5,.mkv,14332510,Bulbule,2021,['Thriller'],Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Buñty Àur Bãbli 2005.mp4,Buñty Àur Bãbli 2005,1.48,.mp4,0448206,Bunty Aur Babli,2005,"['Comedy', 'Crime', 'Drama', 'Romance']",Bollywood
D:\Simply_Movies\Bolly\Simply_Up_2_Date\Alphabet B\Byomkesh Phire Elo (2014).mkv,Byomkesh Phire Elo (2014),1.0,.mkv,4282396,Byomkesh Phire Elo,2014,['Thriller'],Bollywood
