File Path,movieName_Disk,Size (GB),File Type,movieCode_IMDB,Title_IMDB,Year_IMDB,Genres_IMDB,Classified
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\ovr-tsam.avi,Ovr-Tsam,0.68,.avi,0088461,What Have I Done to Deserve This?,1984,"['Comedy', 'Drama']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\MNO_Alpha\Oz.the.Great.and.Powerful.2013.mp4,Oz The Great And Powerful 2013,0.91,.mp4,1623205,Oz the Great and Powerful,2013,"['Adventure', 'Family', 'Fantasy']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Pacific.Rim.2.Uprising.2018.mkv,Pacific Rim 2 Uprising 2018,0.88,.mkv,2557478,Pacific Rim: Uprising,2018,"['Action', 'Adventure', 'Sci-Fi']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Parker.2013.mp4,Parker 2013,0.85,.mp4,1904996,Parker,2013,"['Action', 'Crime', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Passengers (2016).mkv,Passengers (2016),1.02,.mkv,1355644,Passengers,2016,"['Drama', 'Romance', 'Sci-Fi', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Pele.Birth.Of.A.Legend.2016.mp4,Pele Birth Of A Legend 2016,0.78,.mp4,0995868,Pele: Birth of a Legend,2016,"['Biography', 'Drama', 'Sport']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Petes Dragon.mp4,Petes Dragon,1.5,.mp4,2788732,Pete's Dragon,2016,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Pirates 4 (2011).mkv,Pirates 4 (2011),0.99,.mkv,1298650,Pirates of the Caribbean: On Stranger Tides,2011,"['Action', 'Adventure', 'Fantasy']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Pitch Perfect (2012).mkv,Pitch Perfect (2012),0.73,.mkv,1981677,Pitch Perfect,2012,"['Comedy', 'Music', 'Romance']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Point Break.mp4,Point Break,0.84,.mp4,0102685,Point Break,1991,"['Action', 'Crime', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Power Rangers.mkv,Power Rangers,1.06,.mkv,3717490,Power Rangers,2017,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Primal.2010.avi,Primal 2010,0.68,.avi,1438534,Primal,2010,"['Adventure', 'Horror', 'Sci-Fi', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Quantum of Solace.mp4,Quantum Of Solace,1.89,.mp4,0830515,Quantum of Solace,2008,"['Action', 'Adventure', 'Mystery', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Quarantine.avi,Quarantine,0.68,.avi,1082868,Quarantine,2008,"['Horror', 'Sci-Fi', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\R.I.P.D.( 2013).mp4,R I P D ( 2013),0.34,.mp4,10594864,D R I P.,2019,['Short'],Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Raising_Helen.avi,Raising Helen,1.11,.avi,0350028,Raising Helen,2004,"['Comedy', 'Drama', 'Romance']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Rambo.mkv,Rambo,0.73,.mkv,0462499,Rambo,2008,"['Action', 'Adventure', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Rampage.2018..mkv,Rampage 2018,1.12,.mkv,2231461,Rampage,2018,"['Action', 'Adventure', 'Sci-Fi']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Real.Steel.2011.mkv,Real Steel 2011,0.83,.mkv,0433035,Real Steel,2011,"['Action', 'Drama', 'Sci-Fi', 'Sport']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Reasonable Doubt 2014.mkv,Reasonable Doubt 2014,0.24,.mkv,2304953,Reasonable Doubt,2014,"['Crime', 'Drama', 'Mystery', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Rec 2 2009 (Eng Subs).avi,Rec 2 2009 (Eng Subs),0.68,.avi,12848468,REC 2 (2009) Kill Count,2020,"['Comedy', 'Horror']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Red Sparrow.2018.mkv,Red Sparrow 2018,1.27,.mkv,2873282,Red Sparrow,2018,"['Action', 'Drama', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Red Tails[[2012].avi,Red Tails[[2012],0.68,.avi,0485985,Red Tails,2012,"['Action', 'Drama', 'History', 'War']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Redemption.avi,Redemption,0.73,.avi,0111161,The Shawshank Redemption,1994,['Drama'],Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Redirected.2014.mkv,Redirected 2014,0.73,.mkv,2275946,Redirected,2014,"['Action', 'Comedy', 'Crime', 'Thriller']",Eng02
G:\Holly_SIMPLYALI\Cinema_Global_Sorted_B\PQR_Alpha\Reign of Fire.mkv,Reign Of Fire,0.44,.mkv,0253556,Reign of Fire,2002,"['Action', 'Adventure', 'Fantasy', 'Thriller']",Eng02
