,strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,type
76,22450,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22450.00,34261,22791,198.70095902353967,539961,10.98,49.75,-26.349999999999994,-34.625492772667535,70350,179000,900,49.8,800,51.0,22212.7,CE
77,22500,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22500.00,131604,54714,71.1587982832618,1324074,11.06,38.7,-22.25,-36.50533223954061,194800,695200,100,38.15,1700,38.95,22212.7,CE
78,22550,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22550.00,22535,7570,50.58469762779819,476863,11.12,29.65,-18.15,-37.970711297071134,97650,121750,100,29.05,200,29.5,22212.7,CE
79,22600,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22600.00,77902,22214,39.89010199683953,815374,11.13,22.1,-14.949999999999996,-40.35087719298245,111200,209350,800,21.4,1600,22.1,22212.7,CE
80,22650,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22650.00,35596,20619,137.67109568004273,391561,11.15,16.25,-12.399999999999999,-43.280977312390924,84200,99400,150,15.55,750,16.25,22212.7,CE
81,22700,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22700.00,80201,14752,22.53968739018167,677430,11.13,11.6,-10.4,-47.27272727272727,126750,229150,800,11.35,2300,11.75,22212.7,CE
82,22750,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22750.00,39386,21352,118.39858045913275,421587,11.18,8.35,-7.550000000000001,-47.48427672955975,102650,135150,200,8.25,2150,8.8,22212.7,CE
83,22800,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22800.00,105640,25285,31.466616887561447,735558,11.36,6.3,-5.750000000000001,-47.71784232365145,231550,221700,150,6.35,1450,6.7,22212.7,CE
84,22850,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22850.00,39223,20675,111.4675436704766,348751,11.67,5.05,-4.2,-45.40540540540541,132000,117850,8400,5.05,600,5.5,22212.7,CE
85,22900,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22900.00,48650,11848,32.193902505298624,476020,12.02,4.15,-2.9499999999999993,-41.54929577464788,324900,183600,3350,4.15,3550,4.35,22212.7,CE
86,22950,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE22950.00,24954,8724,53.75231053604436,236193,12.42,3.5,-2.25,-39.130434782608695,111650,105900,50,3.5,300,3.95,22212.7,CE
87,23000,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23000.00,252866,51507,25.579686033403025,791551,13.08,3.4,-1.5500000000000003,-31.313131313131315,903550,705300,950,3.4,3600,3.5,22212.7,CE
88,23050,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23050.00,31516,21606,218.02219979818366,195098,13.35,2.75,-1.3499999999999996,-32.92682926829268,135800,75300,250,2.75,150,3.05,22212.7,CE
89,23100,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23100.00,94962,63901,205.72743955442516,352278,13.84,2.5,-0.75,-23.076923076923077,302450,130550,3200,2.5,4250,2.7,22212.7,CE
90,23150,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23150.00,21702,16374,307.3198198198198,152588,14.12,2.05,-0.7000000000000002,-25.454545454545464,143500,92400,2050,2.05,950,2.4,22212.7,CE
91,23200,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23200.00,57379,16637,40.83501055421923,335930,14.92,2.2,0.0,0.0,1061650,177250,1000,2.05,1850,2.2,22212.7,CE
92,23250,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23250.00,10795,6527,152.92877225866917,60764,15.27,1.9,-0.10000000000000009,-5.000000000000004,158000,116850,100,1.7,1550,1.9,22212.7,CE
93,23300,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23300.00,28367,12435,78.05046447401456,139612,15.62,1.65,-0.15000000000000013,-8.333333333333341,1341050,124550,1450,1.65,10200,1.7,22212.7,CE
94,23350,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23350.00,8126,4883,150.57045945112552,61602,15.99,1.45,-0.19999999999999996,-12.12121212121212,301450,132950,2500,1.4,400,1.7,22212.7,CE
95,23400,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23400.00,21034,10832,106.1752597529896,134223,16.46,1.35,-0.19999999999999996,-12.90322580645161,1211500,91250,500,1.4,3400,1.5,22212.7,CE
96,23450,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23450.00,7099,4684,193.9544513457557,44242,17.22,1.45,0.0,0.0,346550,58000,300,1.3,900,1.55,22212.7,CE
97,23500,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23500.00,75488,21455,39.70721596061666,298424,17.34,1.15,-0.25,-17.857142857142858,5067250,326150,20800,1.15,99600,1.2,22212.7,CE
98,23550,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23550.00,5703,3529,162.327506899724,36492,17.93,1.15,-0.10000000000000009,-8.000000000000007,887050,57900,44700,1.1,1200,1.4,22212.7,CE
99,23600,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23600.00,32647,27349,516.2136655341639,242811,17.9,0.85,-0.4,-32.0,2254250,223800,216400,0.85,50950,0.9,22212.7,CE
100,23650,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23650.00,3366,1875,125.75452716297787,30649,18.47,0.85,-0.2500000000000001,-22.727272727272734,666800,79300,26000,0.8,400,0.9,22212.7,CE
101,23700,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23700.00,16179,8275,104.69382591093117,90827,18.78,0.75,-0.44999999999999996,-37.5,1731500,362200,87150,0.75,108000,0.8,22212.7,CE
102,23750,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23750.00,5921,4611,351.98473282442745,25058,19.2,0.7,-0.55,-44.00000000000001,701850,160650,59200,0.7,26950,0.75,22212.7,CE
103,23800,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23800.00,20484,5769,39.20489296636086,52498,19.75,0.7,-0.5,-41.66666666666667,1533800,211450,12600,0.7,23250,0.75,22212.7,CE
104,23850,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23850.00,16459,9218,127.3028587211711,34145,20.14,0.65,-0.45000000000000007,-40.909090909090914,1143600,373300,86800,0.65,155200,0.7,22212.7,CE
105,23900,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23900.00,20168,13432,199.4061757719715,75879,20.69,0.65,-0.5499999999999999,-45.83333333333333,1558250,319050,197350,0.65,137300,0.7,22212.7,CE
106,23950,29-Feb-2024,NIFTY,OPTIDXNIFTY29-02-2024CE23950.00,30024,11941,66.03439694740916,81873,21.05,0.6,-0.6,-50.0,1440300,369150,545250,0.6,150900,0.65,22212.7,CE
