SYMBOL,OPEN,HIGH,LOW,CLOSE,CONTRACTS,OPEN_INT,CHG_IN_OI,TIMESTAMP
KOTAKBANK,1721.0,1727.65,1704.6,1707.1,59171,37583200,753200,26-FEB-2024
L&TFH,171.95,173.5,171.0,171.5,5285,43035990,2561188,26-FEB-2024
LALPATHLAB,2441.95,2446.35,2407.4,2417.95,2830,1315200,-11100,26-FEB-2024
LAURUSLABS,397.4,402.05,394.2,396.35,5537,14077700,-1584400,26-FEB-2024
LICHSGFIN,645.85,660.95,644.05,658.65,9661,16144000,640000,26-FEB-2024
LT,3389.95,3497.55,3389.95,3476.35,55507,15852900,511200,26-FEB-2024
LTIM,5514.65,5515.6,5434.0,5460.95,13975,2236500,-103800,26-FEB-2024
LTTS,5452.85,5476.5,5394.7,5431.05,2557,785200,-12200,26-FEB-2024
LUPIN,1614.6,1620.85,1581.5,1602.4,5666,7840400,-51000,26-FEB-2024
M&M,1940.75,1950.7,1927.75,1930.7,16329,12273800,34300,26-FEB-2024
M&MFIN,292.15,294.9,288.9,290.15,9364,29680000,-2574000,26-FEB-2024
MANAPPURAM,182.55,185.75,181.5,181.9,5095,59370000,-732000,26-FEB-2024
MARICO,529.95,533.45,524.35,525.05,6724,11790000,1017600,26-FEB-2024
MARUTI,11516.9,11528.4,11435.15,11475.3,25941,2458500,-15900,26-FEB-2024
MCDOWELL-N,1161.0,1165.65,1146.5,1148.2,6611,6887300,19600,26-FEB-2024
MCX,3678.2,3703.4,3623.7,3669.5,3743,2464800,-17600,26-FEB-2024
METROPOLIS,1718.35,1752.75,1693.4,1698.9,3210,1208000,-137200,26-FEB-2024
MFSL,927.65,936.85,924.15,926.8,6719,10287200,404000,26-FEB-2024
MGL,1519.6,1533.05,1501.25,1509.2,2061,2374400,-28000,26-FEB-2024
MOTHERSON,115.2,116.25,114.4,115.25,5666,108516400,1050800,26-FEB-2024
MPHASIS,2733.0,2733.0,2636.3,2679.3,12051,3751825,-152900,26-FEB-2024
MRF,150776.95,150927.45,147500.1,148664.55,10069,39175,-3035,26-FEB-2024
MUTHOOTFIN,1317.7,1322.9,1304.5,1306.05,10393,6559300,-287650,26-FEB-2024
NATIONALUM,160.15,162.4,154.7,157.15,9322,74527500,2617500,26-FEB-2024
NAUKRI,5317.15,5334.95,5204.15,5253.35,5218,1131300,2550,26-FEB-2024
NAVINFLUOR,3142.5,3161.95,3090.2,3103.9,8600,1915800,-120900,26-FEB-2024
NESTLEIND,2575.0,2586.95,2565.5,2580.8,5723,5260800,-335600,26-FEB-2024
NMDC,237.4,238.25,232.65,234.4,10645,94365000,-2380500,26-FEB-2024
NTPC,337.95,338.2,335.15,337.35,17868,93786000,2316000,26-FEB-2024
OBEROIRLTY,1368.05,1388.35,1360.25,1377.75,7899,7531300,-179200,26-FEB-2024
OFSS,7923.1,7979.9,7774.9,7901.05,3587,1037800,10000,26-FEB-2024
ONGC,270.65,271.9,267.75,269.75,13687,104596800,1335950,26-FEB-2024
PAGEIND,36227.6,36400.0,35728.75,36126.2,9899,160110,1815,26-FEB-2024
PEL,930.05,936.0,899.0,910.65,1012,11456250,-704250,26-FEB-2024
PERSISTENT,8652.05,8672.35,8305.3,8441.85,23096,1788900,39200,26-FEB-2024
PETRONET,284.3,288.95,283.7,286.45,9239,39198000,-888000,26-FEB-2024
PFC,411.2,416.55,406.05,411.95,14620,79615750,-744000,26-FEB-2024
PIDILITIND,2739.5,2741.9,2706.85,2714.5,8343,3005750,18000,26-FEB-2024
PIIND,3665.75,3715.75,3651.0,3688.95,6336,2379500,-96500,26-FEB-2024
PNB,127.4,127.85,124.4,124.8,24901,257048000,-12032000,26-FEB-2024
POLYCAB,4800.9,4870.8,4702.05,4792.6,26483,2400900,-171600,26-FEB-2024
POWERGRID,282.5,291.1,282.3,287.45,18595,61182000,-2178000,26-FEB-2024
