Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover
08-Aug-23,44888.95,45096.85,44817.85,44964.45,229405682,11285.94
09-Aug-23,44973.45,44975,44533.75,44880.7,177283295,8244.22
10-Aug-23,44797.65,44980.35,44418.4,44541.8,232038617,12500.78
11-Aug-23,44568.15,44571.25,44120.9,44199.1,196900504,8398.35
14-Aug-23,44066.6,44212.75,43776.9,44090.95,172325405,8565.67
16-Aug-23,43726.25,44002.8,43600.35,43946.4,159009616,7794.15
17-Aug-23,43897.25,44071.85,43745.1,43891.35,266374133,12388.63
18-Aug-23,43724.75,43957.65,43672.45,43851.05,167584420,7299.32
21-Aug-23,43952.85,44113.8,43862,44002,126311003,6152.35
22-Aug-23,44125,44151.3,43938.7,43993.25,160746391,7997.31
23-Aug-23,44064.5,44521.65,43952.05,44479.05,212380487,9264.63
24-Aug-23,44704.2,44949.9,44433.75,44496.2,220421097,11640.43
25-Aug-23,44276.2,44359.1,43983.75,44231.45,152511949,6418.26
28-Aug-23,44253.65,44610.4,44201.45,44494.65,162966392,6459.5
29-Aug-23,44655.75,44673,44429.8,44495.25,140261809,7348.76
30-Aug-23,44706.55,44779.65,44149.8,44232.6,153146734,7120.71
31-Aug-23,44265.85,44399.65,43895.05,43989.15,705076481,22944.35
01-Sep-23,43996.1,44568.55,43830.75,44436.1,320777071,10328.28
04-Sep-23,44647.65,44656.05,44310.95,44578.3,238633547,7239.65
05-Sep-23,44625.05,44668.7,44401.7,44532.15,225502820,9163
06-Sep-23,44494.65,44577,44207.25,44409.1,252042492,13586.52
07-Sep-23,44418.05,44915.55,44341.2,44878.35,169135265,7633.64
08-Sep-23,44953.65,45383.35,44812.15,45156.4,179081128,7981.56
11-Sep-23,45340.8,45636.2,45231.3,45570.7,228140725,7468.15
12-Sep-23,45893.8,45893.8,45322.55,45511.35,271358960,10172.39
13-Sep-23,45449.35,45990.5,45299.4,45909.45,441730790,13835.45
14-Sep-23,46013.3,46153.9,45801.5,46000.85,238571609,7707.6
15-Sep-23,46122.15,46310.4,46028.75,46231.5,278351267,20191.93
18-Sep-23,46100.95,46252.95,45906.9,45979.85,348764457,10538.53
20-Sep-23,45493.7,45745.15,45276.4,45384.6,334008742,18829.96
21-Sep-23,45179.6,45276.8,44592.45,44623.85,257738910,13103.32
22-Sep-23,44707.35,44996.75,44548.9,44612.05,249378233,11352.13
25-Sep-23,44615,44936.55,44400.9,44766.1,266505760,8410.26
26-Sep-23,44722.5,44773.8,44532.45,44624.2,188450888,6921.22
27-Sep-23,44465.9,44668,44182.5,44588.3,221854101,8518.1
28-Sep-23,44700.35,44756.8,44248.2,44300.95,389938076,15365.78
29-Sep-23,44445.35,44755.05,44344.9,44584.55,155984970,7457.08
03-Oct-23,44561.5,44566.3,44243.1,44399.05,192648191,8839.94
04-Oct-23,44108.15,44161.35,43857.5,43964.05,310337941,13684.99
05-Oct-23,44181.35,44391.85,44108.3,44213.35,243397808,8920.31
06-Oct-23,44395.4,44500.7,44242.95,44360.6,157546711,5072.44
09-Oct-23,44057.8,44113.2,43796.75,43886.5,162329888,5048.43
10-Oct-23,44027.55,44487.25,44004.55,44360.15,175255784,7051.3
11-Oct-23,44554.9,44710.55,44411.4,44516.9,213743273,8163.77
12-Oct-23,44571.55,44693.05,44530.05,44599.2,112113681,5310.57
13-Oct-23,44322.05,44563.05,44203.7,44287.95,169909362,8569.73
16-Oct-23,44204.75,44356.95,44044.4,44225.9,140416279,5070.04
17-Oct-23,44589.8,44589.85,44336.95,44409.5,120502257,6287.85
18-Oct-23,44404.2,44412.5,43861.45,43888.7,217182886,7931.28
19-Oct-23,43616.75,44058.8,43558.1,43754.5,156629503,7930.9
20-Oct-23,43584.25,43877.5,43567.45,43723.05,152394312,6198.69
23-Oct-23,43822.7,43831.3,43029.45,43151.2,201404300,7591.04
25-Oct-23,43308.3,43397.45,42758.4,42832,188273620,7402.28
26-Oct-23,42708.4,42716.2,42105.4,42280.15,307071946,12780.76
27-Oct-23,42555.6,42840.15,42482.75,42782,213867839,7515.61
30-Oct-23,42721.4,43112.5,42390.5,43039.15,188984726,5999.82
31-Oct-23,43356.85,43356.85,42797.15,42845.95,157391487,7678.31
01-Nov-23,42694.25,42815.15,42589.65,42700.95,145213582,6822.53
02-Nov-23,43018.7,43271.5,42796.45,43017.2,144713411,7556.85
03-Nov-23,43318.3,43416.1,43221,43318.25,124077759,4910.1
06-Nov-23,43627.75,43648.7,43415.2,43619.4,149913775,6574.44
07-Nov-23,43598.85,43799.35,43283.85,43737.9,198173326,9289.17
08-Nov-23,43791.8,43797.55,43547.75,43658.65,163438317,8174.1
09-Nov-23,43626.1,43876.75,43542.65,43683.6,108890302,5404.57
10-Nov-23,43543.25,43908.7,43504.95,43820.1,89974914,4066.49
12-Nov-23,44054.5,44056,43916.6,43996.65,26541813,876.91
13-Nov-23,43915.1,43970.75,43681.4,43891.25,169596833,6306.65
15-Nov-23,44398.45,44408.55,44164.55,44201.7,202535584,9618.46
16-Nov-23,44251.7,44420.95,44064.15,44161.55,144312535,7219.22
17-Nov-23,43656.25,43872.85,43513.85,43583.95,227415842,9025.22
20-Nov-23,43591.5,43724,43450.05,43584.95,124319579,5666.42
21-Nov-23,43790.95,43790.95,43586.45,43689.15,108196578,5746.35
22-Nov-23,43663.6,43692.5,43230.95,43449.6,150863505,7329.92
23-Nov-23,43452.75,43649.65,43451.35,43577.5,72280382,3834.27
24-Nov-23,43607.35,43806.5,43566.15,43769.1,96846530,4775.9
28-Nov-23,43851.55,43960.3,43739.8,43880.95,151249387,7047.12
29-Nov-23,44081.75,44630.35,44003.45,44566.45,152338716,7734.64
30-Nov-23,44711.2,44764.8,44254.6,44481.75,343168253,21570.23
01-Dec-23,44580.15,44951.1,44531.75,44814.2,204927587,8180.31
04-Dec-23,45671.5,46484.45,45484.2,46431.4,311170393,14550.11
05-Dec-23,46895.9,47230.55,46653.65,47012.25,326064098,15573.44
06-Dec-23,47256.75,47259.85,46750.2,46834.55,244245159,10666.48
07-Dec-23,46735.4,46927.7,46507.15,46841.4,208148115,6747.85
08-Dec-23,46797.2,47303.65,46793.9,47262,218254038,9180.03
11-Dec-23,47233.3,47588,47186.6,47314.25,182500023,7276.41
12-Dec-23,47421.7,47454,47004.05,47097.55,181986087,8796.84
13-Dec-23,47190.75,47201.95,46886.9,47092.25,202304718,8905.84
14-Dec-23,47567.65,47943.6,47510.85,47732.3,193093079,9839.45
15-Dec-23,47939.9,48219.95,47632.85,48143.55,313865426,20163.08
18-Dec-23,48068.5,48076.6,47806.7,47867.7,157255424,6762.4
19-Dec-23,47940.4,48017,47646.05,47870.9,189789200,7801.73
20-Dec-23,48085.35,48166.15,47202.65,47445.3,242487993,10779.73
21-Dec-23,47172.45,47932.4,46919.7,47840.15,207998676,10008.37
22-Dec-23,47837.75,48071.4,47415.85,47491.85,165824495,10615.92
26-Dec-23,47576.4,47838.45,47411.65,47724.85,118747478,6180.81
27-Dec-23,47818.5,48347.65,47806.7,48282.2,184934337,7976.75
28-Dec-23,48479.05,48636.45,48343.15,48508.55,391088458,14240.16
29-Dec-23,48374.85,48477.7,48091.85,48292.25,173986713,7476.67
01-Jan-24,48203.45,48450,48044.15,48234.3,146861652,4959.89
02-Jan-24,48194.8,48223.55,47689.8,47761.65,183177683,8751.01
03-Jan-24,47796.3,47798.75,47481.35,47704.95,233345158,9832.53
04-Jan-24,47805.4,48281.2,47738.15,48195.85,175744981,9718.17
05-Jan-24,48245.55,48381.95,47822.85,48159,180954626,9834.28
08-Jan-24,48096.65,48154.5,47387.35,47450.25,231436501,9469.54
09-Jan-24,47705.4,47939.3,47156.05,47242.65,160987383,7934.05
10-Jan-24,47073.85,47423.45,47010.8,47360.85,165160645,6969.8
11-Jan-24,47538.6,47662.1,47237,47438.35,132519875,5966.43
12-Jan-24,47572.7,47873.7,47408.5,47709.8,191640544,7146.18
15-Jan-24,47891.05,48248.05,47825.4,48158.3,167053734,8548.16
16-Jan-24,48109.95,48305.4,48002.85,48125.1,224460146,8140.38
17-Jan-24,46573.95,47212.75,45979.6,46064.45,499645242,29225.38
18-Jan-24,45492.75,46184.05,45430.7,45713.55,275044049,19277.92
19-Jan-24,46103.5,46249.85,45558.05,45701.15,296609385,17405.47
20-Jan-24,45989.25,46183.7,45640.9,46058.2,157202694,7004.79
23-Jan-24,46495.45,46580.3,44886.1,45015.05,422624502,23485.75
24-Jan-24,44489.4,45485.5,44489.4,45082.4,348696634,17822.46
25-Jan-24,45057.95,45139.05,44429,44866.15,386805113,19114.35
29-Jan-24,45171.5,45660.35,45110.9,45442.35,336781672,14163.2
30-Jan-24,45481.5,45678.7,45206.05,45367.75,232110117,10108.33
31-Jan-24,45295.65,46179.75,45071.2,45996.8,373131629,16491.11
01-Feb-24,46164.9,46306.9,45668.35,46188.65,305721773,10681.78
02-Feb-24,46568.2,46892.35,45901.25,45970.95,337040622,12743.15
05-Feb-24,45962.25,46048.6,45615.1,45825.55,265909716,11202.01
06-Feb-24,45891.2,45932.15,45527,45690.8,178592534,9115.56
07-Feb-24,45944.6,46062.85,45620.5,45818.5,283674776,13737.11
08-Feb-24,45973.85,46181.2,44893.75,45012,319908560,17193.25
09-Feb-24,44986.75,45718.15,44859.15,45634.55,275980366,13111.21
12-Feb-24,45664.3,45748.5,44633.85,44882.25,268816417,10317.6
13-Feb-24,45056.8,45750.4,44819.55,45502.4,245860544,12243.15
14-Feb-24,45014.65,46170.45,44860.75,45908.3,279949703,16369.67
15-Feb-24,46027.1,46297.7,45590.2,46218.9,277735723,11616.29
16-Feb-24,46454.3,46693.4,46264.4,46384.85,291383103,10101.23
19-Feb-24,46554.9,46717.4,46317.7,46535.5,158391356,8048.39
20-Feb-24,46444.9,47136.75,46367.8,47094.2,171886069,10520.32
21-Feb-24,47363.4,47363.4,46886.95,47019.7,198947007,11151.61
22-Feb-24,46934.55,47024.05,46426.85,46919.8,177182875,11307.92
23-Feb-24,47060.7,47245.35,46723.15,46811.75,200518213,8632.88
26-Feb-24,46615.85,46893.15,46513.55,46576.5,223684075,8008.66
27-Feb-24,46480.2,46722.25,46324.9,46588.05,157256037,7924.81
28-Feb-24,46640.9,46754.55,45852.55,45963.15,167271103,6980.13
29-Feb-24,45881.45,46329.65,45661.75,46120.9,544734727,16455.05
01-Mar-24,46218,47342.25,46218,47286.9,172519003,8587.25
02-Mar-24,47377.45,47433.85,47237,47297.5,12241084,495.48
04-Mar-24,47318.5,47529.6,47191.65,47456.1,158086247,7795.84
05-Mar-24,47265.7,47737.85,47196.75,47581,176908608,8513.12
06-Mar-24,47451.65,48161.25,47442.25,47965.4,301719696,14489.87
07-Mar-24,48035.8,48071.7,47747.2,47835.8,146312130,8873.38
11-Mar-24,47792.2,47853.8,47230.65,47327.85,204168522,10257.14
12-Mar-24,47351.35,47812.75,46884.45,47282.4,207215490,13545.13
13-Mar-24,47341.15,47468.7,46842.15,46981.3,274610911,14793.18
14-Mar-24,46825.75,47231.5,46565.55,46789.95,220394655,11310.48
15-Mar-24,46572.1,46802.55,46310.5,46594.1,339276817,26718.21
18-Mar-24,46458.75,46739.25,46022.15,46575.9,151328904,6888.3
19-Mar-24,46421.9,46602.35,46258.75,46384.8,147080034,8734.12
20-Mar-24,46392.9,46655.55,45828.8,46310.9,210365443,11766.43
21-Mar-24,46674.85,46990.25,46570.15,46684.9,150392246,8896.96
22-Mar-24,46634.9,46974.15,46566.8,46863.75,172184807,10851.42
26-Mar-24,46552.95,46788.35,46529.05,46600.2,171655734,11171.03
27-Mar-24,46643.45,46956.1,46643.45,46785.95,285050400,16539.74
28-Mar-24,46827.85,47440.45,46827.85,47124.6,347979603,13594.54
01-Apr-24,47391.05,47646.8,47373.1,47578.25,134089417,6573
02-Apr-24,47490.75,47707.35,47408.55,47545.45,183398624,10412.26
03-Apr-24,47350.25,47676.95,47279.8,47624.25,283779413,13792.53
04-Apr-24,48086.2,48254.65,47712.7,48060.8,324271925,18895.59
05-Apr-24,48104.65,48557.4,47894.5,48493.05,214305236,11909.32
